Atefeh Aghababaei	(Hürth, Germany)
Aida Ahmadi	(Heidelberg, Germany)
George Bendo	(Manchester, United Kingdom)
Per Bjerkeli	(Gothenburg, Sweden)
Timothy Braun	(Albuquerque, United States)
Sandra Burkutean	(Bologna, Italy)
Edwige Chapillon	(Saint Martin d'Hères , France)
Vivien Chen	(Hsinchu, Taiwan)
Yo-Ling Chuang	(Taipee, Taiwan)
Yanett Contreras	(Leiden, Netherlands)
Ed Fomalont	(Vitacura, Santiago, Chile)
Adam Ginsburg	(Socorro, United States)
Lizette Guzman ramirez	(Leiden, Netherlands)
Alvaro Hacar	(Leiden, Netherlands)
Cinthya Herrera	(Saint Martin d'Heres, Chile)
Kelley Hess	(Dwingeloo, Netherlands)
Michiel Hogerheijde	(Leiden, Netherlands)
Jens Kauffmann	(Westford, United States)
Yi-Jehng Kuan	(Taipei, Taiwan)
Hauyu Baobab Liu	(Taipei, Taiwan)
Luke Maud	(Garching, Germany)
Fanyi Meng	(Cologne, Germany)
Yusuke Miyamoto	(Tokyo, Japan)
Sebastien Muller	(Onsala, Sweden)
Blazej Nikiel-Wroczyñski	(Krakow, Poland)
Teresa Orozco	(Tonantzintla, Mexico)
Andrés Pérez-sánchez	(Santiago de Chile, Chile)
Dirk Petry	(Garching, Germany)
Nickolas Pingel	(Stromlo, ACT, Australia)
Adele Plunkett	(Charlottesville, United States)
Luis Henry Quiroga nunez	(Leiden, Netherlands)
David Rebolledo	(Santiago, Chile)
Michael Rugel	(Bonn, Germany)
Toshiki Saito	(Heidelberg, Germany)
Pedro Salas	(Green Bank, United States)
Quentin Salome	(Morelia, Mexico)
Alvaro Sanchez-monge	(Cologne, Germany)
Aleksandar Shulevski	(Amsterdam, Netherlands)
Daniel Tafoya	(Onsala, Sweden)
Peter Teuben	(College Park, United States)
Maria Carmen Toribio	(Onsala, Sweden)
Veena Vadamattom shaji	(Köln, Germany)
Vaibhav Vaidya	(Leiden, Netherlands)
María Mercedes Vazzano	(Berazategui, Argentina)
